B0.04,2 Nov - 6 Nov,Room capacity: 220,,,,,,,,,,B0.04,9 Nov - 13 Nov,Room capacity: 220,,,,,,,,
,Monday 2nd ,No. of registered students ,Tuesday 3rd,,Wednesday 4th ,,Thursday 5th,,Friday 6th,,,,Monday 2nd ,No. of registered students ,Tuesday 3rd,,Wednesday 4th ,,Thursday 5th,,Friday 6th,
9:00 - 10:00,COMP30010,79,COMP41450 & COMP30120,143,COMP30010,79,COMP41450 & COMP30120,143,,,,9:00 - 10:00,COMP30010,79,COMP41450 & COMP30120,143,COMP30010,79,COMP41450 & COMP30120,143,,
10:00 - 11:00,IS40640,49,COMP10130,112,,,MATH10130,56,MATH10200,96,,10:00 - 11:00,,,COMP10130,112,,,MATH10130,56,MATH10200,96
11:00 - 12:00,,,COMP20070,107,COMP20020,98,COMP30080,139,COMP30070,84,,11:00 - 12:00,,,COMP20070,107,COMP20020,98,COMP30080,139,COMP30070,84
12:00 - 13:00,COMP20020,98,COMP30080,139,COMP20130,74,COMP20070,107,,,,12:00 - 13:00,COMP20020,98,COMP30080,139,COMP20130,74,COMP20070,107,,
13:00 - 14:00,Booked by School of CS (no other data available),N/A,COMP20110,103,,,COMP10110,113,COMP20110,103,,13:00 - 14:00,,,COMP20110,103,,,COMP10110,113,COMP20110,103
14:00 - 15:00,SCI30060,66,STAT40150,0,,,ENVB30110,83,COMP10110,113,,14:00 - 15:00,SCI30060,66,STAT40150,0,,,ENVB30110,83,COMP10110,113
15:00 - 16:00,COMP41110,19,COMP20010,108,COMP30070,84,,,COMP30220,38,,15:00 - 16:00,COMP41110,19,COMP20010,108,COMP30070,84,,,COMP30220,38
16:00 - 17:00,,,,,,,COMP20010,108,,,,16:00 - 17:00,,,,,,,COMP20010,108,,
17:00 - 18:00,,,,,,,,,,,,17:00 - 18:00,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,No class timetabled,,,,,,,,,,,,,,,,,,,,,
,Unclear if class went ahead,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
