,room_id,timestamp,code
189,B004,1446541200,COMP41450
190,B004,1446544800,COMP10130
191,B004,1446548400,COMP20070
192,B004,1446552000,COMP30080
193,B004,1446555600,COMP20110
194,B004,1446559200,STAT40150
195,B004,1446562800,COMP20010
196,B004,1446566400,not available
197,B004,1446570000,not available
198,B004,1446627600,COMP30010
199,B004,1446631200,not available
200,B004,1446634800,COMP20020
201,B004,1446638400,COMP20130
202,B004,1446642000,not available
203,B004,1446645600,not available
204,B004,1446649200,COMP30070
205,B004,1446652800,not available
206,B004,1446656400,not available
207,B004,1446714000,COMP41450
208,B004,1446717600,MATH10130
209,B004,1446721200,COMP30080
210,B004,1446724800,COMP20070
211,B004,1446728400,COMP10110
212,B004,1446732000,ENVB30110
213,B004,1446735600,not available
214,B004,1446739200,COMP20010
215,B004,1446742800,not available
216,B004,1446800400,not available
217,B004,1446804000,MATH10200
218,B004,1446807600,COMP30070
219,B004,1446811200,not available
220,B004,1446814800,COMP20110
221,B004,1446818400,COMP10110
222,B004,1446822000,COMP30220
223,B004,1446825600,not available
224,B004,1446829200,not available
225,B004,1447059600,COMP30010
226,B004,1447063200,not available
227,B004,1447066800,not available
228,B004,1447070400,COMP20020
229,B004,1447074000,not available
230,B004,1447077600,SCI30060
231,B004,1447081200,COMP41110
232,B004,1447084800,not available
233,B004,1447088400,not available
234,B004,1447146000,COMP41450
235,B004,1447149600,COMP10130
236,B004,1447153200,COMP20070
237,B004,1447156800,COMP30080
238,B004,1447160400,COMP20110
239,B004,1447164000,STAT40150
240,B004,1447167600,COMP20010
241,B004,1447171200,not available
242,B004,1447174800,not available
243,B004,1447232400,COMP30010
244,B004,1447236000,not available
245,B004,1447239600,COMP20020
246,B004,1447243200,COMP20130
247,B004,1447246800,not available
248,B004,1447250400,not available
249,B004,1447254000,COMP30070
250,B004,1447257600,not available
251,B004,1447261200,not available
252,B004,1447318800,COMP41450
253,B004,1447322400,MATH10130
254,B004,1447326000,COMP30080
255,B004,1447329600,COMP20070
256,B004,1447333200,COMP10110
257,B004,1447336800,ENVB30110
258,B004,1447340400,not available
259,B004,1447344000,COMP20010
260,B004,1447347600,not available
261,B004,1447405200,not available
262,B004,1447408800,MATH10200
263,B004,1447412400,COMP30070
264,B004,1447416000,not available
265,B004,1447419600,COMP20110
266,B004,1447423200,COMP10110
267,B004,1447426800,COMP30220
268,B004,1447430400,not available
269,B004,1447434000,not available
270,B002,1446649200,COMP41110
271,B002,1447254000,COMP41110
272,B004,1446541200,COMP30120
273,B004,1446714000,COMP30120
274,B004,1447146000,COMP30120
275,B004,1447318800,COMP30120
