,Room,Time,Assoc,Auth
23,B003,1447483214,0,0
24,B003,1447483511,0,0
25,B003,1447483813,0,0
26,B003,1447484113,0,0
27,B003,1447484414,0,0
28,B003,1447484716,0,0
29,B003,1447485074,0,0
30,B003,1447485319,0,0
31,B003,1447485620,0,0
32,B003,1447485923,0,0
21,B002,1447518806,0,0
22,B002,1447519105,0,0
23,B002,1447519403,0,0
24,B002,1447519708,0,0
25,B002,1447520005,0,0
26,B002,1447520317,0,0
27,B002,1447520606,0,0
28,B002,1447520905,0,0
29,B002,1447521225,0,0
30,B002,1447521521,0,0
31,B002,1447521813,0,0
32,B002,1447522112,0,0
21,B003,1447518806,0,0
22,B003,1447519105,0,0
23,B003,1447519403,0,0
24,B003,1447519708,0,0
25,B003,1447520005,0,0
26,B003,1447520317,0,0
27,B003,1447520606,0,0
28,B003,1447520905,0,0
29,B003,1447521225,0,0
30,B003,1447521521,0,0
31,B003,1447521813,0,0
32,B003,1447522112,0,0
21,B002,1446643894,21,21
22,B002,1446644211,22,22
23,B002,1446644509,21,21
24,B002,1446644824,24,24
25,B002,1446645145,26,26
26,B002,1446645482,29,29
27,B002,1446645817,22,22
28,B002,1446646099,21,21
29,B002,1446646370,21,21
30,B002,1446646656,23,23
31,B002,1446646960,24,24
32,B002,1446647262,24,24
20,B004,1446953689,0,0
21,B004,1446953989,0,0
22,B004,1446954288,0,0
23,B004,1446954591,0,0
24,B004,1446954892,0,0
25,B004,1446955287,0,0
26,B004,1446955496,0,0
27,B004,1446955795,0,0
28,B004,1446956097,0,0
29,B004,1446956402,0,0
30,B004,1446956698,0,0
21,B002,1446701646,0,0
22,B002,1446701948,0,0
23,B002,1446702249,0,0
24,B002,1446702552,0,0
25,B002,1446702850,0,0
26,B002,1446703156,0,0
27,B002,1446703456,0,0
28,B002,1446703759,0,0
29,B002,1446704058,0,0
30,B002,1446704360,0,0
31,B002,1446704663,0,0
32,B002,1446704963,1,1
21,B003,1447176769,4,4
22,B003,1447177069,5,5
23,B003,1447177363,2,2
24,B003,1447177661,1,1
25,B003,1447177964,1,1
26,B003,1447178276,0,0
27,B003,1447178573,0,0
28,B003,1447178869,0,0
29,B003,1447179171,3,3
30,B003,1447179469,5,4
31,B003,1447179768,4,4
32,B003,1447180067,4,4
20,B002,1447389272,0,0
21,B002,1447389573,0,0
22,B002,1447389875,0,0
23,B002,1447390187,0,0
24,B002,1447390477,0,0
25,B002,1447390779,0,0
26,B002,1447391079,0,0
27,B002,1447391378,0,0
28,B002,1447391680,0,0
29,B002,1447391981,0,0
30,B002,1447392282,0,0
21,B004,1446805912,66,66
22,B004,1446806170,66,66
23,B004,1446806559,66,66
24,B004,1446806836,67,67
25,B004,1446807151,63,62
26,B004,1446807503,22,21
27,B004,1446807819,20,20
28,B004,1446808085,28,28
29,B004,1446808373,31,31
30,B004,1446808664,33,32
31,B004,1446808961,33,33
32,B004,1446809275,32,31
21,B002,1447749146,0,0
22,B002,1447749450,1,1
23,B002,1447749763,2,2
24,B002,1447750077,0,0
25,B002,1447750389,2,2
26,B002,1447750708,2,2
27,B002,1447751014,2,2
28,B002,1447751318,0,0
29,B002,1447751601,0,0
30,B002,1447751898,0,0
31,B002,1447752205,0,0
32,B002,1447752503,0,0
21,B003,1446849136,0,0
22,B003,1446849439,0,0
23,B003,1446849747,0,0
24,B003,1446850047,0,0
25,B003,1446850344,0,0
26,B003,1446850646,0,0
27,B003,1446850955,0,0
28,B003,1446851254,0,0
29,B003,1446851554,0,0
30,B003,1446851852,0,0
31,B003,1446852151,0,0
32,B003,1446852453,0,0
21,B004,1447054307,0,0
22,B004,1447054607,0,0
23,B004,1447054907,0,0
24,B004,1447055212,0,0
25,B004,1447055515,1,0
26,B004,1447055820,0,0
