,students,room_id,timestamp,code
171,45,B003,1447405200,COMP20020
172,45,B003,1447408800,COMP20020
173,0,B003,1447412400,COMP47290
174,0,B003,1447416000,COMP47290
175,0,B003,1447419600,
176,65,B003,1447423200,COMP30080
177,65,B003,1447426800,COMP30080
178,0,B003,1447430400,
179,0,B003,1447434000,
180,79,B004,1446454800,COMP30010
181,49,B004,1446458400,IS40640
182,49,B004,1446462000,IS40640
183,98,B004,1446465600,COMP20020
185,66,B004,1446472800,SCI30060
186,19,B004,1446476400,COMP41110
187,0,B004,1446480000,
188,0,B004,1446483600,
189,35,B004,1446541200,COMP41450
190,112,B004,1446544800,COMP10130
191,107,B004,1446548400,COMP20070
192,139,B004,1446552000,COMP30080
193,103,B004,1446555600,COMP20110
194,0,B004,1446559200,STAT40150
195,108,B004,1446562800,COMP20010
196,0,B004,1446566400,
197,0,B004,1446570000,
198,79,B004,1446627600,COMP30010
199,0,B004,1446631200,
200,98,B004,1446634800,COMP20020
201,74,B004,1446638400,COMP20130
202,0,B004,1446642000,
203,0,B004,1446645600,
204,84,B004,1446649200,COMP30070
205,0,B004,1446652800,
206,0,B004,1446656400,
207,35,B004,1446714000,COMP41450
208,56,B004,1446717600,MATH10130
209,139,B004,1446721200,COMP30080
210,107,B004,1446724800,COMP20070
211,113,B004,1446728400,COMP10110
212,83,B004,1446732000,ENVB30110
213,0,B004,1446735600,
214,108,B004,1446739200,COMP20010
215,0,B004,1446742800,
216,0,B004,1446800400,
217,96,B004,1446804000,MATH10200
218,84,B004,1446807600,COMP30070
219,0,B004,1446811200,
220,103,B004,1446814800,COMP20110
221,113,B004,1446818400,COMP10110
222,38,B004,1446822000,COMP30220
223,0,B004,1446825600,
224,0,B004,1446829200,
225,79,B004,1447059600,COMP30010
226,0,B004,1447063200,
227,0,B004,1447066800,
228,98,B004,1447070400,COMP20020
229,0,B004,1447074000,
230,66,B004,1447077600,SCI30060
231,19,B004,1447081200,COMP41110
232,0,B004,1447084800,
233,0,B004,1447088400,
234,35,B004,1447146000,COMP41450
235,112,B004,1447149600,COMP10130
236,107,B004,1447153200,COMP20070
237,139,B004,1447156800,COMP30080
238,103,B004,1447160400,COMP20110
239,0,B004,1447164000,STAT40150
240,108,B004,1447167600,COMP20010
241,0,B004,1447171200,
242,0,B004,1447174800,
243,79,B004,1447232400,COMP30010
244,0,B004,1447236000,
245,98,B004,1447239600,COMP20020
246,74,B004,1447243200,COMP20130
247,0,B004,1447246800,
248,0,B004,1447250400,
249,84,B004,1447254000,COMP30070
250,0,B004,1447257600,
251,0,B004,1447261200,
252,35,B004,1447318800,COMP41450
253,56,B004,1447322400,MATH10130
254,139,B004,1447326000,COMP30080
255,107,B004,1447329600,COMP20070
256,113,B004,1447333200,COMP10110
257,83,B004,1447336800,ENVB30110
258,0,B004,1447340400,
259,108,B004,1447344000,COMP20010
260,0,B004,1447347600,
261,0,B004,1447405200,
262,96,B004,1447408800,MATH10200
263,84,B004,1447412400,COMP30070
264,0,B004,1447416000,
265,103,B004,1447419600,COMP20110
266,113,B004,1447423200,COMP10110
267,38,B004,1447426800,COMP30220
268,0,B004,1447430400,
269,0,B004,1447434000,
270,19,B002,1446649200,COMP41110
271,19,B002,1447254000,COMP41110
272,108,B004,1446541200,COMP30120
273,108,B004,1446714000,COMP30120
274,108,B004,1447146000,COMP30120
275,108,B004,1447318800,COMP30120
