13.00-14.00,B109,90,1,25,3rd November 2015,1446555600,Seminar
14.00-15.00,B004,160,1,25,3rd November 2015,1446559200,Lecture Theatre
14.00-15.00,B002,90,1,75,3rd November 2015,1446559200,Classroom
14.00-15.00,B003,90,1,50,3rd November 2015,1446559200,Classroom
14.00-15.00,B106,90,1,50,3rd November 2015,1446559200,A.L.E.
14.00-15.00,B108,40,1,50,3rd November 2015,1446559200,Seminar
14.00-15.00,B109,90,1,25,3rd November 2015,1446559200,Seminar
15.00-16.00,B004,160,1,25,3rd November 2015,1446562800,Lecture Theatre
15.00-16.00,B002,90,1,25,3rd November 2015,1446562800,Classroom
15.00-16.00,B003,90,1,25,3rd November 2015,1446562800,Classroom
15.00-16.00,B106,90,1,75,3rd November 2015,1446562800,A.L.E.
15.00-16.00,B108,40,1,75,3rd November 2015,1446562800,Seminar
15.00-16.00,B109,90,0,0,3rd November 2015,1446562800,Seminar
16.00-17.00,B004,160,0,0,3rd November 2015,1446566400,Lecture Theatre
16.00-17.00,B002,90,1,25,3rd November 2015,1446566400,Classroom
16.00-17.00,B003,90,0,0,3rd November 2015,1446566400,Classroom
16.00-17.00,B106,90,1,50,3rd November 2015,1446566400,A.L.E.
16.00-17.00,B108,40,1,50,3rd November 2015,1446566400,Seminar
16.00-17.00,B109,90,0,0,3rd November 2015,1446566400,Seminar
9.00-10.00,B004,160,1,25,4th November 2015,1446627600,Lecture Theatre
9.00-10.00,B002,90,1,25,4th November 2015,1446627600,Classroom
9.00-10.00,B003,90,0,0,4th November 2015,1446627600,Classroom
9.00-10.00,B106,90,1,75,4th November 2015,1446627600,A.L.E.
9.00-10.00,B108,40,0,0,4th November 2015,1446627600,Seminar
9.00-10.00,B109,90,0,0,4th November 2015,1446627600,Seminar
10.00-11.00,B004,160,0,0,4th November 2015,1446631200,Lecture Theatre
10.00-11.00,B002,90,1,25,4th November 2015,1446631200,Classroom
10.00-11.00,B003,90,1,25,4th November 2015,1446631200,Classroom
10.00-11.00,B106,90,1,75,4th November 2015,1446631200,A.L.E.
10.00-11.00,B108,40,1,25,4th November 2015,1446631200,Seminar
10.00-11.00,B109,90,0,0,4th November 2015,1446631200,Seminar
11.00-12.00,B004,160,1,25,4th November 2015,1446634800,Lecture Theatre
11.00-12.00,B002,90,1,25,4th November 2015,1446634800,Classroom
11.00-12.00,B003,90,0,0,4th November 2015,1446634800,Classroom
11.00-12.00,B106,90,0,0,4th November 2015,1446634800,A.L.E.
11.00-12.00,B108,40,1,25,4th November 2015,1446634800,Seminar
11.00-12.00,B109,90,1,25,4th November 2015,1446634800,Seminar
12.00-13.00,B004,160,1,50,4th November 2015,1446638400,Lecture Theatre
12.00-13.00,B002,90,1,50,4th November 2015,1446638400,Classroom
12.00-13.00,B003,90,1,75,4th November 2015,1446638400,Classroom
12.00-13.00,B106,90,1,50,4th November 2015,1446638400,A.L.E.
12.00-13.00,B108,40,1,25,4th November 2015,1446638400,Seminar
12.00-13.00,B109,90,0,0,4th November 2015,1446638400,Seminar
13.00-14.00,B004,160,0,0,4th November 2015,1446642000,Lecture Theatre
13.00-14.00,B002,90,0,0,4th November 2015,1446642000,Classroom
13.00-14.00,B003,90,1,75,4th November 2015,1446642000,Classroom
13.00-14.00,B106,90,1,50,4th November 2015,1446642000,A.L.E.
13.00-14.00,B108,40,0,0,4th November 2015,1446642000,Seminar
13.00-14.00,B109,90,1,25,4th November 2015,1446642000,Seminar
14.00-15.00,B004,160,0,0,4th November 2015,1446645600,Lecture Theatre
14.00-15.00,B002,90,1,25,4th November 2015,1446645600,Classroom
14.00-15.00,B003,90,0,0,4th November 2015,1446645600,Classroom
14.00-15.00,B106,90,1,50,4th November 2015,1446645600,A.L.E.
